zip,lat,lon,city,state,precision
01745,42.29344,-71.50276,Fayville,MA,coarse
01746,42.44640,-71.45941,Holliston,MA,coarse
01747,42.12752,-71.53314,Hopedale,MA,coarse
01748,42.44640,-71.45941,Hopkinton,MA,coarse
01749,42.44640,-71.45941,Hudson,MA,coarse
01752,42.44640,-71.45941,Marlborough,MA,coarse
01754,42.44640,-71.45941,Maynard,MA,coarse
01756,42.10035,-71.54696,Mendon,MA,coarse
01757,42.14709,-71.52809,Milford,MA,coarse
01760,42.44640,-71.45941,Natick,MA,coarse
01770,42.44640,-71.45941,Sherborn,MA,coarse
01772,42.29684,-71.53323,Southborough,MA,coarse
01773,42.44640,-71.45941,Lincoln,MA,coarse
01775,42.44640,-71.45941,Stow,MA,coarse
01776,42.44640,-71.45941,Sudbury,MA,coarse
01778,42.44640,-71.45941,Wayland,MA,coarse
01784,42.44640,-71.45941,Woodville,MA,coarse
01801,42.48859,-71.15727,Woburn,MA,coarse
01803,42.50484,-71.20154,Burlington,MA,coarse
01805,42.44640,-71.45941,Burlington,MA,coarse
01806,42.44640,-71.45941,Woburn,MA,coarse
01807,42.44640,-71.45941,Woburn,MA,coarse
01808,42.44640,-71.45941,Woburn,MA,coarse
01810,42.64799,-71.16568,Andover,MA,coarse
01812,42.64719,-71.18420,Andover,MA,coarse
01813,42.44640,-71.45941,Woburn,MA,coarse
01815,42.44640,-71.45941,Woburn,MA,coarse
01821,42.44640,-71.45941,Billerica,MA,coarse
01822,42.44640,-71.45941,Billerica,MA,coarse
01824,42.44640,-71.45941,Chelmsford,MA,coarse
01826,42.44640,-71.45941,Dracut,MA,coarse
01827,42.44640,-71.45941,Dunstable,MA,coarse
01830,42.79264,-71.07250,Haverhill,MA,coarse
01831,42.77110,-71.12205,Haverhill,MA,coarse
01832,42.78963,-71.12656,Haverhill,MA,coarse
01833,42.72377,-70.98130,Georgetown,MA,coarse
01834,42.75107,-71.02144,Groveland,MA,coarse
01835,42.75284,-71.08430,Haverhill,MA,coarse
01840,42.70734,-71.16105,Lawrence,MA,coarse
